THE	Dv
IMPRECISE	A
CAW	NiV
RESURRECT	Vt
HARNESSED	A
UNFILLED	A
FLANGED	V
POSIT	tNV
SINUSES	p
AMPUTEE	N
EXUBERANCE	N
OBLIGATE	VA
ENDOTOXIN	N
UNNUMBERED	A
CLARY	N
GARNISHMENT	N
CHECKERBOARD	N
UNDYING	A
STUBBLE	N
CADDIES	p
AMIE	N
APPENDICITIS	N
COLLIDING	i
KNESSET	N
ENUMERATOR	N
EXISTENTIALISM	N
DEFENSEMAN	N
QUIVERING	NA
CROSSBAR	N
TOASTMASTER	N
UPTIGHT	A
CHIMERIC	A
SARK	N
PEACETIME	N
GRINGO	N
FLATTERY	N
EXPROPRIATION	N
MILLSTONE	N
MORTGAGED	A
IMPOSSIBLY	v
RESELLING	V
BELUGA	N
DRUNKENNESS	N
INDULGED	V
HABITABLE	A
UNRAVELING	V
DIATOM	N
BOBSLED	NiV
SUBTLETIES	p
TRAPPINGS	pN
AFTERTHOUGHT	N
LEGUME	N
HILLBILLIES	p
DAMSEL	N
DUOMO	N
DECORUM	N
NONDURABLE	A
TAFFETA	N
SPOILING	VN
DETRITUS	N
GALACTOSE	N
SUBMARINER	N
EARTHENWARE	N
INCENDIARY	AN
PICKWICK	N
LENIENT	A
DINED	V
IDLY	v
SPORADICALLY	v
NONTRIVIAL	A
DEVILISH	AvN
RIMMED	VA
PROTEOLYTIC	A
ARISTOCRAT	N
SCATHING	A
TWINKLING	NA
PANTOMIME	NV
AUTOBAHN	N
EFFLUX	N
ORANG	N
DECIMATED	t
OVERTHROWN	A
MAGUS	N
MEDULLA	N
REGRESSIVE	A
CEDI	N
STEARATE	N
BORES	N
REGRETTABLE	A
SUPERSYMMETRY	N
STRANGLED	VA
BONITO	N
ZEOLITE	N
SCRAPPY	A
STROMAL	A
SILEX	N
ENGROSSING	A
FERE	N
JEZEBEL	N
VIREO	N
LETHARGY	N
GYNECOLOGICAL	A
PRESCRIBER	N
PURINE	N
COUNTERPUNCH	iN
FROLIC	NVA
CASEWORK	N
CASSIA	N
PAINSTAKING	A
LAMINA	N
UMBER	NA
FINALITY	N
TOPPLED	V
MENDING	N
WRESTLED	V
SCIATICA	N
AREAL	A
SHAKEDOWN	iN
CAUCUSES	p
NONLINEARITY	N
HURTFUL	A
ALTERNATION	N
ASTIGMATISM	N
RECEDING	iNA
CANDELABRA	pN
MALFUNCTIONING	A
POLYUNSATURATED	A
MILLENNIAL	A
HEMISPHERIC	A
DOWNY	A
TACH	N
KUDZU	N
STRAYER	N
TOROIDAL	A
SPINNAKER	N
MEGAWATT	N
MINIMISED	t
IRREGULARLY	v
CHIVES	N
ORATORY	N
PALISADE	NtV
SEPTAL	A
MOCCASIN	N
CIRCUMCISED	t
LEMUR	N
AUXILIARIES	p
APHRODISIAC	NA
SAXOPHONIST	N
TERSE	A
MASJID	N
INSISTENT	A
NEBULAE	p
LIDOCAINE	N
INDOMETHACIN	N
UTILE	A
DIGITIZER	N
FRIGHTFUL	A
WAXY	A
TRITE	A
GENTLER	A
VEX	tV
CYSTITIS	N
SHARD	N
SUPERCRITICAL	A
DILAPIDATED	A
LOOS	N
MIEN	N
HANKY	N
LIBERTARIANISM	N
NICAD	N
PROLAPSE	NiV
STUBBY	AN
EVANGELISTIC	A
SIXPENCE	N
ENERGETICS	N
IMPALED	t
CONIFEROUS	A
SICKLY	Av
INEXPLICABLY	v
CURBED	A
RETEST	Nt
EFFICACIOUS	A
PHILANTHROPIST	N
CHLORAMPHENICOL	N
REPAIRER	N
BANJOS	p
GEODESY	N
KIDDY	N
INNUENDO	N
PITFALL	N
ATTENUATOR	N
REDE	Nt
POLYSACCHARIDE	N
SUPERHIGHWAY	N
DISSERVICE	N
MINDER	N
ORATOR	N
ASSESSABLE	A
PINATA	N
BUMBLEBEE	N
ABET	V
MALACHITE	N
STEPPE	N
PLOWED	A
FEATHERWEIGHT	NA
INTRICATELY	v
DIGITIZE	tV
KERB	Nt
SEMIOTICS	N
SMOTHERING	A
ENCAMPMENT	N
CALAMARI	N
LEMPIRA	N
ROQUE	N
PROPHESY	Vi
RECAST	tNV
BURSAR	N
DOWEL	N
INTERDICTION	N
CHASTE	A
BESTIAL	A
RESTOCK	tiV
IRRADIANCE	N
OOZING	VNA
POLARIZING	V
CURD	NV
BOOKISH	A
SUBDUE	V
RAKING	Vi
DENOUNCING	t
TRAUMATIZED	t
GILLIES	p
MENTATION	N
BOWYER	N
PYLON	N
PRIVATEER	Ni
GROMMET	N
VICARIOUS	A
RUCKUS	N
SEEDY	A
ASSERTIVENESS	N
RAINCOAT	N
BARF	V
PERSONABLE	A
IMPLOSION	N
STURT	Nit
WETNESS	N
MEGALITHIC	A
STRADDLE	tiNV
BINDERY	N
IMBEDDED	t
QUENCHED	A
TANTRUM	N
JUICED	V
ANTITHESIS	N
NONNEGATIVE	A
AMOEBA	N
WUTHERING	A
ACCENTUATE	tV
NEODYMIUM	N
SQUANDERED	A
SORTIE	NV
CARET	N
WITHAL	vP
METHOXY	A
NEOPLASIA	N
BARMAN	N
BLINDFOLD	tNAvV
BROMINE	N
RAMPART	Nt
POSSESSIVE	AN
IMMUNOASSAY	N
FELDSPAR	N
MAHARAJA	N
IDEALIST	NA
GLUCOCORTICOID	N
SOLIDIFIED	VA
FERRIC	A
CONCEIT	Nt
NEEDFUL	A
CAMPAIGNER	N
THATCH	NV
BAMBINI	p
EMBOSS	V
MEIOSIS	N
DIVERSIFYING	t
WEATHERS	N
RIVERHEAD	N
DOTY	A
THICKET	N
MARANATHA	!
DEPRAVED	A
CONTINENCE	N
PUPPETRY	N
HYPOTHALAMIC	A
POLYGONAL	A
PRYING	AVN
STOPOVER	NV
BLIP	NV
VOYAGEURS	p
BAST	N
STOCKER	N
RUDELY	v
VICHY	N
PUBESCENT	A
ICKY	A
DEPLORABLE	A
SMACKING	AN
REINTRODUCED	t
AGGRAVATE	tV
PORTOBELLO	N
BROADLEAF	NA
QUOTH	V
ICONOGRAPHY	N
SNOWSTORM	N
LACUNA	N
LUTEIN	N
SOLVABLE	A
COMBE	N
INCESSANTLY	v
SORPTION	N
DEPRESSANT	AN
FLARING	AV
CORMORANT	N
DEMPSTER	N
STARGAZER	N
CYTOGENETIC	A
TESTA	N
LYE	N
DITTY	N
HOMOMORPHISM	N
PESTILENCE	N
THOROUGHFARE	N
SKIFF	N
DOSS	iNV
BELLIGERENT	AN
FINGERBOARD	N
DEACONESS	N
LECTIN	N
GUMMY	ANv
HIGHT	t
GLOMERULAR	A
ECLIPSED	V
CONSPIRED	V
CATIONIC	A
VARIA	p
AGONIZING	A
BOTTOMLESS	A
ATTRIBUTING	V
TONEY	N
TILAPIA	N
INTERFEROMETRY	N
LULLABIES	p
EXCRUCIATING	A
PUNCTUAL	A
AUDIOTAPE	N
RETROSPECTIVELY	v
BONIFACE	N
CONJUNCTIVITIS	N
WATERCOURSE	N
CLIMATOLOGICAL	A
PROSTHESES	p
PRIVATIZE	V
INTERPHASE	N
STAKING	VN
CONVERSING	V
TESTABLE	A
DIFFERENTIABLE	A
SISAL	N
ACETYLENE	N
CALAMITIES	p
BEDOUIN	N
FANCIES	p
ACCUSER	N
CONNOTATION	N
BOOKABLE	A
ALIENATING	tA
GANYMEDE	N
YAGI	N
NORMALIZING	V
BANKNOTE	N
ANIMATING	VA
MERCURIAL	AN
REPUGNANT	A
LOWBALL	NV
CITRON	N
METRONIDAZOLE	N
CLAVE	NV
SUPPLANT	tV
OILSEED	N
CORROBORATED	VA
ANDROS	N
BESTIARY	N
ALLELIC	A
MAGNETICALLY	v
PERMAFROST	N
HUNKY	AN
BIRDMAN	N
INFERTILE	A
TIPSY	A
ATRIA	p
LAYETTE	N
FACTUALLY	v
CELS	N
CRESS	N
NEURALGIA	N
TIMBRE	N
SCROTUM	N
CLASPED	NV
LEGISLATED	V
WOMANHOOD	N
EXORBITANT	A
GRIEVED	V
EXPERIMENTER	N
TALLIES	p
ENTERAL	A
ENDOCARDITIS	N
SEVERALLY	v
FICUS	N
SAWTOOTH	N
BEDSTEAD	N
MATCHBOOK	N
WIMP	N
CARESSING	NA
CULPA	N
FROTH	NVt
OBLITERATED	A
REGALIA	N
HARDBOUND	A
PEERAGE	N
DERMA	N
DECEITFUL	A
WATS	N
STORIED	A
DISENFRANCHISED	tA
VERBENA	N
MANDIBULAR	A
UNPROFITABLE	A
DOUBLET	N
ASTONISHINGLY	v
CANNIBALISM	N
ANTIQUED	V
TYPESET	V
PRETENDER	N
BONING	V
BUTTERSCOTCH	N
GUNSLINGER	N
MARL	NtV
SUBSIDE	iV
MOOS	V
FALSIFICATION	N
POLTERGEIST	N
MODERNIZING	VN
CONSPIRING	V
RETALIATE	itV
DEAFENING	NA
COHABITATION	N
COFACTOR	N
FROSTBITE	N
JARRING	VA
WATTLE	NtAV
BAPTISMAL	A
MAGDALEN	N
REGULARIZATION	N
SPILLAGE	N
BRACKISH	A
TUBBY	A
GUAR	N
GLIOMA	N
ORYX	N
HYPERTHYROIDISM	N
PREMENSTRUAL	A
HYPHENATED	A
TINSEL	NAtV
SCRUTINIZE	tV
ADVERB	N
MUMBLED	V
MIRED	VA
BREVE	N
ISOPROPYL	N
POTENTIOMETER	N
MUT	N
PRUNUS	N
SWEATSHOP	N
PROSPECTUSES	p
WORTHINESS	N
LAZILY	v
CATTERY	N
JEEPERS	!
FOLIAR	A
TROPOSPHERE	N
REVOKING	V
JAILHOUSE	N
RAVER	N
CUESTA	N
POSTURING	VN
CANTATA	N
HAKEEM	N
DISARMING	AN
WEEN	V
THIAMINE	N
WOEFULLY	v
PROMONTORY	N
JURIDICAL	A
HILLIER	A
SHANDY	N
SMOTE	V
DIPLOID	AN
PIVOTING	N
TAUNTING	NA
OUTWARDS	v
REND	Vt
DEPRAVITY	N
WEALTHIER	A
DIALOGIC	A
BOLUS	N
CALVING	VN
DISAGREEABLE	A
BLOODLINE	N
OFFSIDE	AvN
RECERTIFIED	t
INTRAUTERINE	A
SPRINKLES	N
SHORTCOMING	N
BRAINCHILD	N
CORRUPTING	A
JEE	!it
MASSIF	N
SHRIKE	N
BALLOTING	VN
KINE	N
DAIRIES	p
UNADJUSTED	A
PONYTAIL	N
FRAUDULENTLY	v
CALENDULA	N
MUSHY	A
GIBBERISH	N
ARBITRAL	A
INTRAMUSCULAR	A
DOZER	N
DREADNOUGHT	N
ASEPTIC	A
REDISTRIBUTING	t
DARKEN	V
DEFAMER	N
DOWRY	N
GASTRITIS	N
HYMENOPTERA	N
SKIRTING	NA
ADIEU	!N
GATHERER	N
KINDLING	N
RETRANSMIT	tV
NONDESTRUCTIVE	A
AFFLUENCE	N
ACYCLIC	A
SYNCHRONICITY	N
PASSABLE	A
SHOULDERED	A
TUMBLEWEED	N
MILLIGRAM	N
HILARITY	N
PREDOMINANCE	N
SNUCK	V
MITTEN	N
RECIRCULATION	N
CAMPY	A
TAMARIND	N
DALASI	N
ADMONITION	N
PERCHANCE	v
AWASH	vA
HERIOT	N
PRECOCIOUS	A
ROOD	N
HETEROZYGOUS	A
REPRESS	tV
OUTSTATION	Nv
MOIETY	N
CLIFT	N
STEEPLY	v
DEBUNKING	N
CONNECTEDNESS	N
CALIBRATOR	N
TYPOGRAPHIC	A
DARNED	vA
AMPERE	N
LOCUM	N
UNDERWEIGHT	A
DENSER	A
DUD	NA
FLAMINGOS	p
MOORLAND	N
LIGNIN	N
CATTLEMEN	p
BULLFROG	N
PHARMACOLOGIC	A
DIVINELY	v
GOLDENROD	N
SKIMMED	VA
LASSIE	N
HEDONISM	N
CONGRATULATION	N!
SEMINARIES	p
PREPACKAGED	tA
PUMICE	Nt
TROTTING	V
STATOR	N
COMBING	N
INDIUM	N
WOODCRAFT	N
TRAVESTY	NtV
UNCOATED	A
BEWILDERING	A
HUNCHBACK	NA
ABACK	v
PNEUMATICS	N
BLATHER	iNV
GRIFF	N
CASTAWAY	NAV
SCALY	A
HEAPED	A
ESKER	N
MINEFIELD	N
AMNIOTIC	A
DEROGATION	N
FANTASTICALLY	v
ORACLES	p
UNTIED	VA
QUINCE	N
PROFUSION	N
GONADOTROPIN	N
OKA	N
UNORDERED	A
GLINT	ViN
INCITEMENT	N
BATHROBE	N
HANSEL	NV
FIGURATIVELY	v
DAYLILY	N
NGULTRUM	N
TRICKSTER	N
SORCERESS	N
STOIC	NA
AGGRESSIVENESS	N
OSCILLATORY	A
FOOTWORK	N
MONTANE	A
FATIGUED	A
UNCONSCIOUSNESS	N
VIDEOCASSETTE	N
GUACAMOLE	N
CHUB	N
PIECING	V
DELEGATING	VN
QUARTO	N
REACTIVATION	N
HEARTWOOD	N
IMPROVISE	V
VANG	N
INCIPIENT	A
SCINTILLATION	N
HELICES	N
EXCLUSIONARY	A
CRACKLING	NA
OBJECTOR	N
FRANKFURTER	N
BRINDLE	NA
THRO	P
OUTRUN	V
EXTENUATING	A
TROPOSPHERIC	A
BLACKBERRIES	p
AMISS	vA
CAVERNOUS	A
SCORELESS	A
REPRIEVE	tNV
SEISMOLOGY	N
RADIOMETER	N
TAURINE	AN
HYPERSPACE	N
SHANTY	N
SURVIVORSHIP	N
PLURALISTIC	A
ENFORCEABILITY	N
FORMALIZE	Vt
VOIDED	A
RAPPING	NV
RELAUNCH	t
PROTECTIONISM	N
PHENOBARBITAL	N
DIEHARD	N
PHOTOCHEMICAL	A
CARBO	N
FLAGPOLE	N
LIVID	A
DISTASTEFUL	A
DISTINCTIVELY	v
GEEZER	N
OVERTURNING	N
POKEY	AN
ATTESTATION	N
BRAVADO	N
OVERPOWERING	A
CHILDLESS	A
ELECTRIFYING	tA
PROPORTIONED	A
LAVISHLY	v
SMITE	Vi
FORTHRIGHT	Av
ALIST	A
FORETOLD	VA
DADO	Nt
ENGRAVER	N
SADDLED	VA
EMPHASISING	t
CHUMP	NV
TIBIAL	A
FLAXSEED	N
TRAWLER	N
BIFOCAL	A
LITTLEST	DA
CADASTRE	N
LOGE	N
TIMEKEEPING	N
TRICKERY	N
ADHERENT	NA
UNSOLD	tA
VINDICATION	N
SCOOT	VN
BINNING	V
FALTER	iNV
CHATTY	A
RHEOLOGY	N
ENCUMBRANCE	N
FOREHAND	ANvV
IMPERFECTION	N
SURA	N
PATACA	N
SORROWFUL	A
CELEBRATORY	A
TIMEPIECE	N
LOVEABLE	A
SUPERCONDUCTOR	N
UNCHANGING	A
PREDOMINATE	itAV
CRISSCROSS	VANv
DETONATOR	N
IONOSPHERIC	A
MOLESTED	A
MULTIMILLION	N
INGLE	N
SCALPEL	N
HYENA	N
WEDLOCK	N
ERSTWHILE	Av
DAFFY	A
SOPH	N
OBTUSE	A
CAUDAL	A
SEXTET	N
STERNLY	v
CHANTED	A
SPIRALING	A
SAVOUR	NitV
MODELLER	N
INDECENCY	N
LUPINE	AN
NITROGLYCERIN	N
FEASTING	N
DECAPITATED	tA
GOURDE	N
ROADBLOCK	N
SUFFOCATION	N
INDEMNIFIED	t
TELEPATHY	N
LIQUIDATE	Vt
SHOPLIFTING	N
KLICK	N
BABBLER	N
LAWLESSNESS	N
CLONIDINE	N
PYRENE	N
PREFAB	NA
BEADWORK	N
RECOLLECT	V
POSTMORTEM	AN
OUTNUMBER	tV
REWROTE	V
UNIONIZED	A
LARCH	N
INTERROGATORIES	p
MUTTERING	NA
WHET	tNV
PREFRONTAL	A
DISCUSSANT	N
SITUS	N
IMPATIENTLY	v
BOLES	N
RECHARGED	V
ALINE	V
DISJOINTED	A
RUBBERIZED	tA
INEQUITY	N
THEBES	N
DOER	N
PANDEMONIUM	N
CLOISONNE	NA
BYWAY	N
PLEAT	NtV
APHASIA	N
SEEP	iNV
COHOSH	N
IRREPLACEABLE	A
FANATICISM	N
FESCUE	N
SPEARMAN	N
FLAMED	V
GODSEND	N
DOORMAN	N
OXYGENATED	tA
SWOOSH	VN
ERADICATING	t
REHEARSED	V
IMPLAUSIBLE	A
OUTRAGEOUSLY	v
CREAMERY	N
PETTICOAT	N
UNRESTRAINED	A
TRIENNIAL	AN
PIGTAIL	N
CONSTRICTION	N
APPRAISING	tA
ENTHRALLED	tA
STRAYS	p
FOETUS	N
PUNTER	N
INDICIA	p
EMBROILED	A
EXCISED	t
GROUNDFISH	N
SWASH	itNV
ARMISTICE	N
CLINCHED	A
ASTRAGALUS	N
INOPERATIVE	A
RIVERINE	A
FORLORN	A
APOLOGETIC	A
ABSOLUTION	N
FLUIDITY	N
INORDINATE	A
TANGA	N
CLANK	NVi
WHACKED	A
CREASING	V
INDIVIDUALISTIC	A
CABOCHON	N
METICAL	N
LEANER	N
ALIPHATIC	A
MONOCHROMATIC	AN
ARTEMISIA	N
SLIMMER	AN
EVERMORE	v
LOCOS	p
TRATTORIA	N
INTERWORKING	V
RUBLE	N
DISCONCERTING	A
APPROPRIATING	V
VITICULTURE	N
INHALING	VA
ELLIPSOID	NA
BACKREST	N
FLUTTERING	NA
CALLABLE	A
CHARTREUSE	NA
BRIER	N
CANDLEHOLDER	N
HUNDREDTH	AN
FIRSTBORN	NA
CIRCUMVENTION	N
BETRAYING	A
BIRDHOUSES	p
SCREECH	NV
AXILLARY	AN
MAXIMALLY	v
REGIONALISM	NA
CLOBBER	tNV
ENCAPSULATING	ti
NODDY	N
PALTRY	A
ANCHORMAN	N
CARELESSNESS	N
BROADSIDE	NvVA
LARGEMOUTH	N
ANTICOAGULANT	AN
TREMOLO	N
GOULASH	N
CRAZINESS	N
GROANING	A
CREMATORIUM	N
REJOICED	V
SCRUMPTIOUS	A
SUSPENDER	N
BLIMP	N
QUICKNESS	N
LOOPY	A
LEAL	A
TURBAN	N
SEROLOGICAL	A
INFATUATION	N
FUG	N
CHOMP	VN
ANTISTATIC	A
CURVING	NVA
FRENETIC	A
ALLIUM	N
MISREPRESENT	tV
POSTURAL	A
TANKARD	N
AMOROUS	A
NOTIFIABLE	A
EXTRAPOLATE	V
WEANED	A
PECTIN	N
MERENGUE	N
VAGUENESS	N
GRUMBLE	ViN
WRONGED	A
FIREFLIES	p
FALSIFIED	V
DIALECTICAL	A
REVOCABLE	A
ENTHALPY	N
TANKLESS	A
ROSIN	NtV
FLATLY	v
TIPPER	N
INCITING	t
RAGA	N
MALLEABLE	A
HYDROCEPHALUS	N
ECRU	NA
INDECISION	N
CANDIDIASIS	N
UNSELFISH	A
WHETSTONE	N
WELLSPRING	N
GULAG	N
OUTLANDER	N
MACAW	N
ARYL	N
ALIGHT	ivVA
PUBLICALLY	v
GENIAL	A
REVOLVED	VA
JAGER	N
CACHET	N
STEEPLECHASE	Ni
FORTIFY	V
UNSURPRISINGLY	v
CHERUBS	p
ARMATURE	N
CANZONE	N
IMPLICATE	tV
GATEFOLD	N
NUTRITIONALLY	v
FLEURY	A
DIVED	N
WEIMARANER	N
OBVERSE	AN
INFAMY	N
DAPPER	A
BELFRY	N
DURABLES	N
ELYSIAN	A
BALDY	N
TROUBLESHOOTER	NA
ODIOUS	A
PLIER	N
LONER	N
REHEARSING	V
ELLIPSIS	N
PRAGMATICS	N
BROWNSTONE	N
FABRICATOR	N
CYCLED	V
OUTHOUSE	N
COBBLED	Vt
HAJ	N
VANQUISH	tV
DEXTROSE	N
PARAPSYCHOLOGY	N
QUILTER	N
LAUNCHPAD	N
LAUDABLE	A
CATABOLISM	N
LUMINAL	N
PERMEATE	V
THAWING	N
VIOLONCELLO	N
OMNIPRESENT	A
GESUNDHEIT	!
INCONSEQUENTIAL	A
STRANG	N
INSENSITIVITY	N
DEVOURING	A
RENUNCIATION	N
STUNTED	A
REFORMIST	NA
MUNCHING	N
FUMBLING	VA
SERVICEABILITY	N
PURL	NVi
FIREPROOF	AtV
BANAL	A
PORTICO	N
BROADS	p
TRANSPORTABLE	A
PLACARD	NtV
UNCOOKED	A
LOLLY	N
QUARTERMASTER	N
WINTERGREEN	N
PECULIARLY	v
DEPORT	tV
LOX	N
TRANSPOSED	VA
THEOSOPHY	N
KARMIC	A
JITTERS	N
NONFATAL	A
WAISTCOAT	N
VIER	N
DOBBINS	N
PERUSAL	N
CHILDLIKE	A
SHAMELESSLY	v
GUAVA	N
BANDICOOT	NV
PERSIMMON	N
SHH	!
CALLAN	N
CLOAKED	A
CLADE	N
SUPPOSITORIES	p
BROTHERLY	Av
FRESNEL	N
UNINHABITED	A
DECOUPAGE	N
DEMONSTRABLY	v
SAWN	V
SUNFISH	N
UNBELIEF	N
FACIES	N
POINSETTIA	N
INTERCOOLER	N
AIRSTRIP	N
OVERTAKING	N
BELLMAN	N
EUPHONIUM	N
URINALYSIS	N
COUNCILWOMAN	N
HOLED	V
TRANSFERENCE	N
PLIABLE	A
MANTUA	N
INEVITABILITY	N
WIMPY	A
DICTATING	V
SIDEWALL	N
DUCKLING	N
CRYSTALLIZED	VA
REPRISAL	N
BLIGHTED	A
LUCITE	N
RAFTER	NV
DISSECT	Vt
TARRAGON	N
RUMBLING	NA
HEXANE	N
GIES	N
PERCEPTIBLE	A
BLAZES	p
HYPNOTIST	N
ESCARPMENT	N
OLIVINE	N
LINEARIZED	t
ENCIRCLED	tA
DESEGREGATION	N
MEGAHERTZ	N
SNOUT	N
GOODLY	A
PHILOSOPHICALLY	v
BIGOT	N
PROTESTER	N
GESTAPO	N
BRAMBLE	Ni
PERSISTING	A
DALLES	p
HOLLIES	p
SASQUATCH	N
BOUILLON	N
SCRIBBLED	V
AMU	N
TITER	N
CANASTA	N
AXIOMATIC	A
CELIBACY	N
DISPLEASED	VA
DECATHLON	N
ANTHILL	N
LATHER	NVit
BALDING	A
EXTRACTIVE	AN
BUREAUCRAT	N
GENERICALLY	v
UNCHALLENGED	A
CLASSICISM	N
COMMUTATION	N
SPIRITUALISM	N
GAPPED	V
ENGENDER	tV
GERBIL	N
QUANDARY	N
PLUCKER	N
SILVERS	N
FINIAL	N
STREAKED	A
EMPHASES	p
XYLOPHONE	N
HERMENEUTICS	N
CANDLER	N
LEATHERETTE	N
SILHOUETTED	V
POLISHER	N
CROUCHED	A
GRADATION	N
TOLE	N
UNANIMITY	N
BIOGEOGRAPHY	N
WARTHOG	N
EDUCATIONALLY	v
IMPEDING	tA
EXPLOITABLE	A
ERYTHEMA	N
GRISLY	AN
FORNICATION	N
FIGURAL	A
SASSAFRAS	N
SURREALIST	N
CONTAMINATING	VA
ORNITHINE	N
AGRONOMIC	A
FLUOROURACIL	N
PISCINA	N
DEBARMENT	N
JUMPSUIT	N
KLEENEX	N
OVERPAID	t
SHIGELLA	N
WINKLE	NtV
TRACHEAL	NA
BLOSSOMING	N
WOOLY	A
KICKBACK	NV
IRATE	A
PARTISANSHIP	N
WEAN	tNV
SITAR	N
PUSHY	A
BOLDFACE	NAtV
BROGAN	N
OMELET	N
HEARTWORM	N
SHEAF	Nt
QUIRED	t
JUJU	N
PEACEMAKING	NA
LAZULI	N
DICTUM	N
NIHILISM	NA
THORIUM	N
REFUTATION	N
POSTHUMOUS	A
SCRAMBLER	N
LORRIES	p
OVERESTIMATE	VtN
BATHYMETRY	N
ENLISTING	N
LUCIFERASE	N
CATLIN	N
SWINDLE	VtN
BILBO	N
INDOCTRINATION	N
DISAGREEING	i
REVOLTING	A
CANDIED	A
MIDDLEWEIGHT	NA
SCALER	N
DINGY	A
GABBER	N
FRIEZE	N
DINK	AV
MACKINAW	N
UNDESIRED	A
CLUNKY	A
REACTIVATE	tV
EUPHORIC	A
YUPPIE	N
COASTGUARD	N
REDEPLOYMENT	N
LOTTE	N
NENE	N
AZIDE	N
RECALCULATED	t
EMPLACEMENT	N
MAHARISHI	N
BARYON	N
OVERCOAT	N
TYRANNICAL	A
INFINITESIMAL	AN
FISHBOWL	N
SPOUTING	A
HUMBLING	AN
TRUER	A
LIMES	N
BURGLARIES	p
WRECKER	N
MINISKIRT	N
UNACCOUNTED	A
PRESSURING	V
SULLEN	AN
BATTERING	N
KRAUT	N
SUPERFICIALLY	v
UPSTART	NViA
REFOCUS	V
CROUSE	A
CAPSICUM	N
BEEPER	N
INFEASIBLE	A
THALIDOMIDE	N
DIVULGED	t
WHOLESALING	V
SHRUNKEN	VA
PUPA	N
SUBFIELD	N
REPREHENSIBLE	A
SEQUENT	AN
SUDS	pNV
DEDICATING	V
RALLYE	N
FORBADE	V
REFERENT	N
PIECED	V
OOCYTE	N
ARCHING	NA
SPECULAR	A
OKRA	N
IMPERSONATE	tV
GLORIOUSLY	v
WORSTED	N
NEVERMORE	v
VIBRATORY	A
SANGUINE	AN
DOMINATOR	N
SLUNG	A
SHOCKINGLY	v
BREN	N
VAGRANT	NA
BEEKEEPING	N
MANGOSTEEN	N
EMPTIES	A
BIGHT	NtV
PROLIFERATE	V
STEROIDAL	A
ENCYCLICAL	NA
DOMINOS	pN
NOH	N
DECIBEL	N
MORGEN	N
BACKHAND	NvtVA
DORMER	N
STASIS	N
BARRIOS	p
UNDERPRIVILEGED	A
CARABINER	N
COMPETENTLY	v
MISCELLANEA	pN
PROLONGATION	N
ARNICA	N
SUBLINGUAL	A
DUALISM	N
SINFONIA	N
OXYTOCIN	N
POUNCE	iNtV
PANIER	N
OXBOW	N
MOUTHFULS	p
INSTILLED	t
DUALLY	v
GEST	N
CALYX	N
VALOUR	N
MIGHTILY	v
FACTOID	N
UNWIELDY	A
PERPETUATED	t
WEENIE	N
EXAGGERATING	V
PENALIZE	tV
SMOLDERING	A
REFINANCED	it
INFOMERCIAL	N
SNUB	VNA
TWEEDY	A
COARSELY	v
ARRAYED	A
RAFF	N
WITHSTANDING	V
STAMPER	N
PANELING	N
DAMPENING	N
HISSING	NA
CRUMPLED	VA
JOJOBA	N
COMPRESSIBLE	A
AZO	A
PRAT	N
OUTCROP	NiV
TOPMOST	A
INTRUDE	V
ROSARIES	p
BEHEST	N
REMARRIED	V
AGEE	A
CHARMER	N
UKE	N
LIPPED	AV
HAPHAZARD	vAN
INFIRM	A
PONTIFF	N
QUAGGA	N
MENAGE	N
MOTHERLAND	N
GROWLING	N
INDESCRIBABLE	A
ARRAIGNMENT	N
MATERIALITY	N
UNGRADED	A
SCABIES	N
NAPPING	VA
INHOMOGENEOUS	A
TOPPLING	VA
WORKWEEK	N
OXYGENATION	N
BOUTON	N
EXCELLENTLY	v
WINGMAN	N
BURLY	A
DIVEST	tV
MANGE	N
REINTRODUCTION	N
BUTADIENE	N
UNFAIRNESS	N
UNCHAINED	A
ABATED	V
PSYLLIUM	N
POPLIN	N
TINIEST	A
NEUROSIS	N
MOWED	V
ANAPHYLAXIS	N
CONGENIAL	A
SUPERNOVAE	p
FERVENTLY	v
AURORAL	A
CARBOXYL	AN
LYCEUM	N
HARLOT	NA
EXTRACTIONS	p
SUPERHUMAN	A
ENTOMOLOGICAL	A
QUANTIZED	t
UNLINED	A
CONCLAVE	N
HUMANLY	v
ABIOTIC	A
UNIONISM	N
AVENTAIL	N
MAGNIFICENCE	N
EVERT	t
SACRAMENTAL	AN
PEDDLER	N
HELIO	N
SUBACUTE	A
CROSSROAD	N
UGLINESS	N
SANCTIONING	A
MODERNISING	ti
MIKADO	N
PETROLOGY	N
BASEBOARD	N
HELPLESSLY	v
QUINTESSENCE	N
GUNNED	A
LIBELLOUS	A
THROES	pN
PYROTECHNICS	NA
CROWBAR	N
HOMEBOUND	AN
PEDDLING	AN
PAINTBRUSH	N
SUNRAY	NA
SCUD	VN
CULMINATE	Vi
CORRELATING	V
RAKED	AVi
FUMIGATION	N
PRECONCEPTION	N
JUSTIFIABLY	v
STUPIDLY	v
LASHING	NA
OCCIPITAL	AN
THEISM	NA
GAUDY	AN
ELECTROPHORETIC	A
TABLING	NV
SWOON	iNV
BUCKSKIN	NA
BRICKYARD	N
FLOATER	N
TROIKA	N
RECLUSE	NA
OUTFITTING	VN
DISPLACING	t
PROTOZOA	N
SUBSTRUCTURE	N
ISOTYPE	N
TELEGRAPHIC	A
